map;matrix

---

258;3
259;4
197;5
198;5
199;6
203;7
205;8
207;9
208;10
209;11
210;12
211;13
212;14
213;15
214;16
215;17
216;18
217;19
218;20
219;21
220;22
221;23
223;24
225;25
226;26
239;30
230;31
232;31
241;31
515;31
231;34
238;34
228;35
235;35
236;35
242;35
237;36
229;39
227;40
233;40
240;41
234;42
244;43
245;44
246;45
247;46
248;47
249;48
250;49
251;49
253;50
254;51
255;52
256;52
261;53
263;57
264;58
265;59
267;60
268;61 hub
269;62 pillar
270;63 gira
278;68
279;69
280;70
281;71
282;72
283;73
284;74
285;75
286;76
512;77
513;78
287;79
289;80
290;81
291;82
292;83
293;84
294;85
295;86
296;87
297;88
298;89
299;90
300;91
301;92
302;93
303;94
305;95
306;96
307;97
308;98
310;99
309;100
311;101
312;102
313;103
314;104
315;105
316;106
317;107
318;108
319;109
321;110
122;111
35;112
47;113
167;114
133;115
332;118
410;119
466;120
333;121
412;126
413;127
414;128
415;129
423;130
424;131
73;133
74;134
77;135
52;136
56;136
437;137
71;138
136;139
29;140
8;141
9;142
10;143
175;144
376;145
337;147
11;148
12;149
13;150
14;151
15;152
16;153
17;154
59;155
106;156
80;159
192;159
422;160
117;165
118;166
558;166
119;167
445;168
449;169
81;170
446;170
492;171
137;172
138;173
139;174
140;175
141;176
143;177
368;178
369;179
370;180
125;181
126;182
177;183
179;184
181;185
183;186
176;187
178;188
180;188
182;188
184;189
185;190
187;191
186;192
326;193
328;194
329;195
493;196
330;197
331;198
461;199
462;200
393;201
157;203
144;204
28;205
121;206
103;209
112;209
104;210
113;210
351;211
357;212
358;213
359;214
360;215
361;216
38;217
39;218
40;219
67;220
68;221
88;222
91;224
93;224
95;224
100;225
154;226
155;227
156;228
322;229
164;230
323;231
324;232
325;233
201;234
430;236
116;237
494;238
497;239
510;241
511;242

---

Turnback cave 1 ;64

271;
272;
521;
522;
527;
528;
533;
534;
539;
540;
545;
546;
551;
552;

---

Turnback cave 2 ;65

273;
518;
523;
524;
529;
530;
535;
536;
541;
542;
547;
548;
553;
554;

---

Turnback cave 3 ;66

519;
520;
525;
526;
531;
532;
537;
538;
543;
544;
549;
550;
555;
556;
557;

---

Pokémon Center (middle) ;116

6;
36;
48;
69;
101;
123;
134;
151;
168;
173;
189;
420;
428;
435;
443;
452;
459;

---

Pokémon Center (top) ;117

7;
37;
49;
70;
102;
124;
135;
152;
169;
174;
190;
421;
429;
436;
444;
453;
460;
495;

---

Mart ;122

4;
34;
46;
66;
87;
153;
166;
191;
419;
427;
434;
451;
458;

---

Small house & TV ;123

5;
41;
42;
58;
60;
64;
85;
127;
128;
130;
131;
147;
148;
170;
171;
194;
195;
196;
257;
275;
335;
355;
364;
396;
397;
416;
417;
425;
431;
432;
438;
440;
441;
454;
456;
464;
465;
498;

---

Small house no TV ;124

82;
83;
386;
387;
447;
448;
491;

---

Small house & PC ;125

23;
31;
32;
115;
129;
145;
146;
163;
375;
455;
503;

---

Building floor 0 ;132

19;
24;
30;
50;
54;
61;
72;
76;

---

Grand Lake houses ;146

338;
339;
377;
378;
379;

---

North/South gate ;157

107;
108;
111;
193;
304;
352;
381;

---

East/West gates ;158

109;
110;
149;
374;
389;
390;
398;
501;

---

Elevator ;207

18;
105;
114;
142;
327;
463;
516;

---

Building last floor ;208

20;
21;
22;
25;
26;
27;
51;
53;
55;
57;
62;
63;
75;
78;
79;
517;

---

Hearthome Gym trainer room ;223

89;
90;
92;
94;
96;
97;
98;
99;

---

Pokémon Center (bottom) ;235

474;
475;
476;
477;
478;
479;
480;
481;
482;
483;
484;
485;
486;
487;
488;
489;
490;
496;

---

Great Marsh ;240

504;
505;
506;
507;
508;
509;

---

Small house TV & bed ;243 (unused map)

43;
44;
158;
160;
161;
162;
348;
384;
500;
514;	

---

Small house TV & PC ;244

84;
159;
372;
394;
439;
499;
502;

---

nothing above 244
